,Quarter,Tm,Detail,ATL,WAS
0,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),0,7
1,2.0,Redskins,Joe Theismann 1 yard rush (Mark Moseley kick),0,14
2,2.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),7,14
3,3.0,Falcons,Gerald Riggs 10 yard rush (Mick Luckhurst kick),14,14
4,3.0,Redskins,John Riggins 1 yard rush,14,20
5,4.0,Redskins,Calvin Muhammad 7 yard pass from Joe Theismann (Mark Moseley kick),14,27
