,Quarter,Tm,Detail,KAN,CIN
0,2.0,Chiefs,Mike Williams 1 yard rush (Jan Stenerud kick),7,0
1,2.0,Chiefs,Jan Stenerud 46 yard field goal,10,0
2,3.0,Bengals,Ken Anderson 3 yard rush (Chris Bahr kick),10,7
