,Quarter,Tm,Detail,PIT,CLE
0,1,Browns,Matt Bahr 44 yard field goal,0,3
1,2,Steelers,John Stallworth 6 yard pass from Terry Bradshaw (Gary Anderson kick),7,3
2,3,Browns,Johnny Davis 1 yard rush (Matt Bahr kick),7,10
3,4,Steelers,"Safety, Cox ran out of end zone",9,10
