,Quarter,Time,Tm,Detail,PIT,CIN
0,1.0,,Bengals,Doug Pelfrey 32 yard field goal,0,3
1,2.0,0:53,Steelers,Norm Johnson 46 yard field goal,3,3
2,2.0,0:53,Steelers,Jerome Bettis 6 yard rush (Norm Johnson kick),10,3
3,2.0,0:53,Bengals,Ki-Jana Carter 1 yard rush (Doug Pelfrey kick),10,10
4,2.0,0:53,Steelers,Kordell Stewart 1 yard rush (Norm Johnson kick),17,10
5,2.0,1:15,Bengals,David Dunn 90 yard kickoff return (Doug Pelfrey kick),17,17
6,3.0,1:15,Steelers,Jerome Bettis 1 yard rush (Norm Johnson kick),24,17
7,3.0,1:15,Bengals,Eric Bieniemy 33 yard rush (Doug Pelfrey kick),24,24
8,4.0,1:15,Bengals,Ki-Jana Carter 12 yard pass from Jeff Blake (Doug Pelfrey kick),24,31
9,4.0,1:15,Bengals,Doug Pelfrey 34 yard field goal,24,34
