,Quarter,Tm,Detail,RAM,ATL
0,2.0,Rams,Dick Bass 2 yard pass from Roman Gabriel (Bruce Gossett kick),7,0
1,2.0,Falcons,Wade Traynham 40 yard field goal,7,3
2,4.0,Rams,Roman Gabriel 1 yard rush (Bruce Gossett kick),14,3
3,4.0,Rams,Bernie Casey 57 yard pass from Roman Gabriel (Bruce Gossett kick),21,3
4,4.0,Rams,Billy Truax 18 yard pass from Eddie Meador (Bruce Gossett kick),28,3
5,4.0,Rams,Bruce Gossett 27 yard field goal,31,3
