,Quarter,Tm,Detail,HOU,ATL
0,1.0,Falcons,Arthur Cox 23 yard pass from Steve Bartkowski (Mick Luckhurst kick),0,7
1,1.0,Falcons,Gerald Riggs 2 yard rush (Mick Luckhurst kick),0,14
2,1.0,Falcons,Gerald Riggs 4 yard rush (Mick Luckhurst kick),0,21
3,2.0,Oilers,Florian Kempf 22 yard field goal,3,21
4,2.0,Oilers,Larry Moriarty 2 yard pass from Warren Moon (Florian Kempf kick),10,21
5,3.0,Falcons,Billy Johnson 25 yard pass from Steve Bartkowski (Mick Luckhurst kick),10,28
6,3.0,Falcons,Arthur Cox 16 yard pass from Steve Bartkowski (Mick Luckhurst kick),10,35
7,4.0,Falcons,Jeff Jackson 35 yard interception return (Mick Luckhurst kick),10,42
