,Quarter,Tm,Detail,NYG,WAS
0,1.0,Redskins,Mark Moseley 46 yard field goal,0,3
1,2.0,Redskins,Karl Lorch 31 yard interception return (Mark Moseley kick),0,10
2,2.0,Redskins,Clarence Harmon 4 yard pass from Joe Theismann (Mark Moseley kick),0,17
3,3.0,Redskins,Joe Theismann 7 yard rush (Mark Moseley kick),0,24
4,4.0,Redskins,Mark Moseley 40 yard field goal,0,27
