,Quarter,Tm,Detail,TAM,DET
0,2.0,Buccaneers,Nathan Wonsley 22 yard rush (Donald Igwebuike kick),7,0
1,2.0,Buccaneers,Steve Young 9 yard rush (Donald Igwebuike kick),14,0
2,2.0,Lions,Eddie Murray 41 yard field goal,14,3
3,3.0,Buccaneers,Donald Igwebuike 33 yard field goal,17,3
4,3.0,Lions,Eddie Murray 51 yard field goal,17,6
5,3.0,Buccaneers,Nathan Wonsley 55 yard rush (Donald Igwebuike kick),24,6
6,4.0,Lions,James Jones 1 yard rush (Eddie Murray kick),24,13
7,4.0,Lions,James Jones 2 yard rush (Eddie Murray kick),24,20
