,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,Steve Christie 42 yard field goal,3,0
1,2.0,Bills,Steve Christie 30 yard field goal,6,0
2,3.0,Bills,James Lofton 29 yard pass from Jim Kelly (Steve Christie kick),13,0
3,3.0,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),20,0
4,3.0,Bills,Andre Reed 45 yard pass from Jim Kelly (Steve Christie kick),27,0
5,4.0,Bills,James Lofton 22 yard pass from Jim Kelly (Steve Christie kick),34,0
6,4.0,Bills,Mike Lodish 18 yard defensive fumble return (Steve Christie kick),41,0
7,4.0,Patriots,Marv Cook 4 yard pass from Hugh Millen (Charlie Baumann kick),41,7
