,Quarter,Tm,Detail,BUF,BAL
0,3.0,Colts,Norm Bulaich 1 yard rush (Jim O'Brien kick),0,7
1,3.0,Colts,Ray Perkins 5 yard pass from Johnny Unitas (Jim O'Brien kick),0,14
2,4.0,Colts,Jim O'Brien 13 yard field goal,0,17
3,4.0,Colts,Billy Newsome 19 yard interception return (Jim O'Brien kick),0,24
