,Quarter,Time,Tm,Detail,ATL,MIN
0,1,,Falcons,Jamal Anderson 5 yard pass from Chris Chandler (Morten Andersen kick),7,0
1,1,,Vikings,Randy Moss 31 yard pass from Randall Cunningham (Gary Anderson kick),7,7
2,2,,Vikings,Gary Anderson 29 yard field goal,7,10
3,2,,Vikings,Randall Cunningham 1 yard rush (Gary Anderson kick),7,17
4,2,,Vikings,Gary Anderson 35 yard field goal,7,20
5,2,0:59,Falcons,Terance Mathis 14 yard pass from Chris Chandler (Morten Andersen kick),14,20
6,3,0:59,Falcons,Morten Andersen 27 yard field goal,17,20
7,4,0:59,Vikings,Matthew Hatchette 5 yard pass from Randall Cunningham (Gary Anderson kick),17,27
8,4,0:59,Falcons,Morten Andersen 24 yard field goal,20,27
9,4,0:57,Falcons,Terance Mathis 16 yard pass from Chris Chandler (Morten Andersen kick),27,27
10,OT,0:57,Falcons,Morten Andersen 38 yard field goal,30,27
