,Quarter,Time,Tm,Detail,PIT,CLE
0,1.0,,Steelers,Norm Johnson 33 yard field goal,3,0
1,1.0,,Steelers,Mark Bruener 12 yard pass from Neil O'Donnell (Norm Johnson kick),10,0
2,2.0,,Browns,Matt Stover 44 yard field goal,10,3
3,2.0,,Steelers,Bam Morris 1 yard rush (Norm Johnson kick),17,3
4,2.0,,Browns,Michael Jackson 11 yard pass from Vinny Testaverde (Matt Stover kick),17,10
5,3.0,,Browns,Vinny Testaverde 1 yard rush (Matt Stover kick),17,17
6,4.0,,Steelers,Norm Johnson 27 yard field goal,20,17
