,Quarter,Tm,Detail,RAM,WAS
0,1.0,Rams,Lou Zontini 32 yard field goal,3,0
1,2.0,Redskins,Les Dye 61 yard pass from Frank Filchock (Joe Aguirre kick),3,7
2,2.0,Redskins,Joe Aguirre 19 yard pass from Frank Filchock (Joe Aguirre kick),3,14
3,4.0,Rams,Harvey Jones 36 yard rush (Lou Zontini kick),10,14
