,Quarter,Tm,Detail,CIN,NOR
0,1,Bengals,Isaac Curtis 52 yard pass from Ken Anderson (Dave Green kick),7,0
1,2,Bengals,Charlie Joiner 14 yard pass from Ken Anderson (Dave Green kick),14,0
2,3,Bengals,Isaac Curtis 5 yard pass from Ken Anderson (Dave Green kick),21,0
