,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Jim Taylor 1 yard rush (Don Chandler kick),7,0
1,2.0,Bears,Roger LeClerc 24 yard field goal,7,3
2,2.0,Bears,Jim Jones 13 yard pass from Rudy Bukich (Roger LeClerc kick),7,10
3,2.0,Bears,Gale Sayers 10 yard rush (Roger LeClerc kick),7,17
4,2.0,Packers,Don Chandler 43 yard field goal,10,17
5,3.0,Bears,Jon Arnett 2 yard rush (Roger LeClerc kick),10,24
6,4.0,Bears,Ronnie Bull 4 yard rush (Roger LeClerc kick),10,31
