,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Cris Collinsworth 37 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,1.0,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),7,7
2,2.0,Bengals,James Brooks 24 yard rush (Jim Breech kick),7,14
3,2.0,Bengals,Stanford Jennings 1 yard rush (Jim Breech kick),7,21
4,2.0,Oilers,Drew Hill 4 yard pass from Warren Moon (Tony Zendejas kick),14,21
5,3.0,Bengals,Jim Breech 51 yard field goal,14,24
6,4.0,Oilers,Ray Wallace 2 yard rush (Tony Zendejas kick),21,24
7,4.0,Oilers,Robert Lyles 93 yard defensive fumble return (Tony Zendejas kick),28,24
8,4.0,Bengals,James Brooks 21 yard rush (Jim Breech kick),28,31
