,Quarter,Tm,Detail,CLE,CIN
0,1.0,Bengals,Jim Breech 42 yard field goal,0,3
1,2.0,Bengals,Jack Thompson 13 yard rush (Jim Breech kick),0,10
2,2.0,Browns,Reggie Rucker 42 yard pass from Brian Sipe (Don Cockroft kick),7,10
3,2.0,Browns,Don Cockroft 26 yard field goal,10,10
4,3.0,Bengals,Ray Griffin 52 yard interception return (Jim Breech kick),10,17
5,3.0,Browns,Ricky Feacher 35 yard pass from Brian Sipe (Don Cockroft kick),17,17
6,3.0,Browns,Ricky Feacher 34 yard pass from Brian Sipe (Don Cockroft kick),24,17
7,3.0,Bengals,Pat McInally 59 yard pass from Jack Thompson (Jim Breech kick),24,24
8,4.0,Browns,Don Cockroft 22 yard field goal,27,24
