,Quarter,Tm,Detail,NYJ,PHI
0,1.0,Jets,Emerson Boozer 11 yard pass from Al Woodall (Bobby Howfield kick),7,0
1,1.0,Jets,Emerson Boozer 1 yard rush (Bobby Howfield kick),14,0
2,2.0,Jets,Bobby Howfield 34 yard field goal,17,0
3,2.0,Eagles,Don Zimmerman 2 yard pass from Roman Gabriel (Tom Dempsey kick),17,7
4,3.0,Eagles,Harold Carmichael 62 yard pass from Roman Gabriel (Tom Dempsey kick),17,14
5,3.0,Jets,Bobby Howfield 16 yard field goal,20,14
6,3.0,Eagles,Tom Dempsey 40 yard field goal,20,17
7,3.0,Eagles,John Outlaw 45 yard interception return (Tom Dempsey kick),20,24
8,4.0,Jets,Bobby Howfield 41 yard field goal,23,24
