,Quarter,Tm,Detail,NYG,WAS
0,1.0,Redskins,Mark Moseley 35 yard field goal,0,3
1,2.0,Redskins,Mark Moseley 45 yard field goal,0,6
2,3.0,Giants,Doug Kotar 17 yard rush (Joe Danelo kick),7,6
3,4.0,Giants,Jim Robinson 23 yard pass from Joe Pisarcik (Joe Danelo kick),14,6
4,4.0,Giants,Joe Danelo 20 yard field goal,17,6
