,Quarter,Time,Tm,Detail,TAM,CHI
0,1.0,5:58,Bears,Paul Edinger 34 yard field goal,0,3
1,2.0,14:55,Buccaneers,Martin Gramatica 33 yard field goal,3,3
2,2.0,0:48,Bears,Tony Parrish 38 yard interception return (Paul Edinger kick),3,10
3,3.0,9:23,Buccaneers,Shaun King 9 yard rush (Martin Gramatica kick),10,10
4,4.0,10:02,Bears,Paul Edinger 48 yard field goal,10,13
