,Quarter,Tm,Detail,TAM,GNB
0,1.0,Packers,Max Zendejas 50 yard field goal,0,3
1,1.0,Packers,Brent Fullwood 30 yard pass from Randy Wright (Max Zendejas kick),0,10
2,2.0,Buccaneers,Lars Tate 2 yard rush (Donald Igwebuike kick),7,10
3,2.0,Buccaneers,Donald Igwebuike 53 yard field goal,10,10
4,4.0,Buccaneers,Donald Igwebuike 28 yard field goal,13,10
