,Quarter,Time,Tm,Detail,CIN,IND
0,1.0,0:36,Colts,Dominic Rhodes 17 yard rush (Adam Vinatieri kick),0,7
1,2.0,6:08,Bengals,Shayne Graham 19 yard field goal,3,7
2,2.0,0:29,Colts,Marvin Harrison 5 yard pass from Peyton Manning (Adam Vinatieri kick),3,14
3,3.0,6:15,Colts,Anthony Gonzalez 2 yard pass from Peyton Manning (Adam Vinatieri kick),3,21
4,3.0,2:22,Colts,Dallas Clark 4 yard pass from Peyton Manning (Adam Vinatieri kick),3,28
5,4.0,5:02,Colts,Kelvin Hayden 85 yard interception return (Adam Vinatieri kick),3,35
