,Quarter,Tm,Detail,PIT,CIN
0,2.0,Bengals,Ed Williams 2 yard rush (Horst Muhlmann kick),0,7
1,2.0,Bengals,Horst Muhlmann 30 yard field goal,0,10
2,2.0,Steelers,Roy Gerela 24 yard field goal,3,10
3,3.0,Bengals,Ed Williams 1 yard rush (Horst Muhlmann kick),3,17
4,4.0,Steelers,Preston Pearson 1 yard rush (Roy Gerela kick),10,17
