,Quarter,Tm,Detail,TAM,MIN
0,1.0,Vikings,Jan Stenerud 24 yard field goal,0,3
1,1.0,Vikings,Jan Stenerud 24 yard field goal,0,6
2,2.0,Vikings,Darrin Nelson 1 yard rush (Jan Stenerud kick),0,13
3,2.0,Vikings,Jan Stenerud 25 yard field goal,0,16
4,3.0,Vikings,Jan Stenerud 35 yard field goal,0,19
5,3.0,Buccaneers,Calvin Magee 7 yard pass from Steve Young (Donald Igwebuike kick),7,19
6,4.0,Vikings,Ted Brown 8 yard rush (Jan Stenerud kick),7,26
