,Quarter,Tm,Detail,SDG,DEN
0,1.0,Broncos,Floyd Little 2 yard rush (Jim Turner kick),0,7
1,2.0,Chargers,Bill McClard 26 yard field goal,3,7
2,2.0,Broncos,Joe Dawkins 4 yard rush (Jim Turner kick),3,14
3,2.0,Broncos,Charlie Greer 65 yard punt return (Jim Turner kick),3,21
4,3.0,Chargers,Bill McClard 48 yard field goal,6,21
5,3.0,Broncos,Jim Turner 12 yard field goal,6,24
6,3.0,Broncos,Haven Moses 11 yard pass from Charley Johnson (Jim Turner kick),6,31
7,3.0,Broncos,Haven Moses 7 yard pass from Charley Johnson (Jim Turner kick),6,38
8,4.0,Chargers,Gary Garrison 23 yard pass from John Hadl (Bill McClard kick),13,38
