,Quarter,Time,Tm,Detail,SDG,KAN
0,2.0,,Chiefs,Lin Elliott 27 yard field goal,0,3
1,2.0,,Chiefs,Kimble Anders 1 yard rush (Lin Elliott kick),0,10
2,2.0,,Chiefs,Lin Elliott 34 yard field goal,0,13
3,3.0,,Chargers,Shawn Jefferson 52 yard pass from Stan Humphries (John Carney kick),7,13
4,4.0,,Chargers,Duane Young 5 yard pass from Stan Humphries (John Carney kick),14,13
