,Quarter,Tm,Detail,OAK,DEN
0,1.0,Raiders,Raymond Chester 9 yard pass from Jim Plunkett (Chris Bahr kick),7,0
1,1.0,Broncos,Rick Upchurch 44 yard pass from Craig Morton (pass failed),7,6
2,2.0,Broncos,Fred Steinfort 29 yard field goal,7,9
