,Quarter,Tm,Detail,RAM,MIN
0,1.0,Rams,Willie Ellison 2 yard rush (Bruce Gossett kick),7,0
1,2.0,Rams,Wendell Tucker 10 yard pass from Roman Gabriel (Bruce Gossett kick),14,0
2,2.0,Rams,Bruce Gossett 33 yard field goal,17,0
3,4.0,Rams,Wendell Tucker 25 yard pass from Roman Gabriel (Bruce Gossett kick),24,0
4,4.0,Rams,Wendell Tucker 9 yard pass from Roman Gabriel (Bruce Gossett kick),31,0
5,4.0,Vikings,Fred Cox 19 yard field goal,31,3
