,Quarter,Tm,Detail,NYG,CIN
0,1.0,Bengals,Cris Collinsworth 16 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,1.0,Bengals,James Brooks 27 yard pass from Boomer Esiason (Jim Breech kick),0,14
2,2.0,Bengals,James Brooks 5 yard rush (Jim Breech kick),0,21
3,2.0,Giants,Jess Atkinson 33 yard field goal,3,21
4,3.0,Giants,Joe Morris 1 yard rush (Jess Atkinson kick),10,21
5,3.0,Giants,Jess Atkinson 14 yard rush (Jess Atkinson kick),17,21
6,3.0,Giants,Jess Atkinson 37 yard field goal,20,21
7,3.0,Bengals,James Griffin 24 yard interception return (Jim Breech kick),20,28
8,4.0,Bengals,Rodney Holman 5 yard pass from Boomer Esiason (Jim Breech kick),20,35
9,4.0,Giants,Jess Atkinson 46 yard field goal,23,35
10,4.0,Giants,George Adams 24 yard pass from Phil Simms (Jess Atkinson kick),30,35
