,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Larry Kinnebrew 7 yard rush (Jim Breech kick),0,7
1,1.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),0,14
2,1.0,Bengals,James Brooks 57 yard pass from Boomer Esiason (Jim Breech kick),0,21
3,2.0,Bengals,Larry Kinnebrew 3 yard rush (Jim Breech kick),0,28
4,2.0,Oilers,Tony Zendejas 25 yard field goal,3,28
5,2.0,Oilers,Butch Woolfolk 46 yard pass from Oliver Luck (Tony Zendejas kick),10,28
6,3.0,Oilers,Tony Zendejas 26 yard field goal,13,28
7,3.0,Bengals,Rodney Holman 64 yard pass from Boomer Esiason (Jim Breech kick),13,35
8,3.0,Bengals,Eddie Brown 19 yard pass from Boomer Esiason (Jim Breech kick),13,42
9,4.0,Bengals,Jim Breech 29 yard field goal,13,45
10,4.0,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),20,45
11,4.0,Oilers,Larry Moriarty 1 yard rush (Tony Zendejas kick),27,45
