,Quarter,Tm,Detail,NWE,CHI
0,1.0,Bears,Ken Margerum 17 yard pass from Jim McMahon (John Roveto kick),0,7
1,1.0,Bears,Emery Moorehead 2 yard pass from Jim McMahon (John Roveto kick),0,14
2,2.0,Bears,"Safety, Osborne tackled Grogan in end zone",0,16
3,2.0,Bears,Jim McMahon 6 yard rush (John Roveto kick),0,23
4,2.0,Patriots,Steve Grogan 1 yard rush,6,23
5,3.0,Patriots,Rick Sanford 99 yard interception return (Dan Miller kick),13,23
6,4.0,Bears,John Roveto 43 yard field goal,13,26
