,Quarter,Tm,Detail,NYJ,CLE
0,1.0,Jets,Pat Leahy 41 yard field goal,3,0
1,1.0,Jets,Steve Davis 20 yard rush (Pat Leahy kick),10,0
2,2.0,Browns,Reggie Rucker 13 yard pass from Mike Phipps (Don Cockroft kick),10,7
3,2.0,Browns,Paul Warfield 23 yard pass from Mike Phipps (Don Cockroft kick),10,14
4,2.0,Browns,Reggie Rucker 4 yard pass from Mike Phipps (Don Cockroft kick),10,21
5,3.0,Browns,Don Cockroft 32 yard field goal,10,24
6,3.0,Browns,Reggie Rucker 8 yard pass from Brian Sipe (Don Cockroft kick),10,31
7,4.0,Jets,Richard Todd 8 yard rush (Pat Leahy kick),17,31
8,4.0,Browns,Steve Holden 26 yard pass from Brian Sipe (Don Cockroft kick),17,38
