,Quarter,Time,Tm,Detail,RAI,RAM
0,1.0,,Raiders,Andrew Glover 27 yard pass from Jeff Hostetler (Jeff Jaeger kick),7,0
1,1.0,,Rams,Flipper Anderson 22 yard pass from Chris Chandler (Tony Zendejas kick),7,7
2,2.0,,Raiders,Rocket Ismail 10 yard pass from Jeff Hostetler (Jeff Jaeger kick),14,7
3,4.0,,Raiders,Jeff Jaeger 44 yard field goal,17,7
4,4.0,,Rams,Tony Zendejas 22 yard field goal,17,10
5,4.0,,Raiders,Jeff Jaeger 47 yard field goal,20,10
6,4.0,,Rams,Todd Kinchen 4 yard pass from Chris Miller (Tony Zendejas kick),20,17
