,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Cliff Battles 65 yard interception return (Riley Smith kick),0,7
1,2.0,Pirates,Johnny Blood 43 yard pass from Max Fiske (Izzy Weinstock kick),7,7
2,2.0,Pirates,Tuffy Thompson 55 yard pass from Johnny Blood,13,7
3,3.0,Redskins,Charley Malone 7 yard pass from Sammy Baugh,13,13
4,3.0,Redskins,Ed Justice 3 yard pass from Riley Smith (Riley Smith kick),13,20
5,4.0,Redskins,Cliff Battles 60 yard rush (Riley Smith kick),13,27
6,4.0,Redskins,Cliff Battles 62 yard rush (Riley Smith kick),13,34
7,4.0,Pirates,Johnny Blood 2 yard pass from Bull Karcis (Armand Niccolai kick),20,34
