,Quarter,Time,Tm,Detail,KAN,MIA
0,1.0,,Chiefs,J.J. Birden 22 yard pass from Steve Bono (Lin Elliott kick),7,0
1,2.0,5:36,Dolphins,Bernie Parmalee 10 yard pass from Dan Marino (Pete Stoyanovich kick),7,7
2,2.0,5:36,Chiefs,Marcus Allen 3 yard rush (Lin Elliott kick),14,7
3,2.0,5:36,Dolphins,Irving Fryar 4 yard pass from Dan Marino (Pete Stoyanovich kick),14,14
4,3.0,5:36,Dolphins,Dan Marino 4 yard rush (Pete Stoyanovich kick),14,21
5,3.0,3:56,Dolphins,Troy Vincent 56 yard touchdown on a lateral (Pete Stoyanovich kick),14,28
6,3.0,3:56,Chiefs,Jon Vaughn 91 yard kickoff return (Lin Elliott kick),21,28
7,3.0,3:56,Dolphins,Bernie Parmalee 47 yard rush (Pete Stoyanovich kick),21,35
8,4.0,3:56,Dolphins,Pete Stoyanovich 21 yard field goal,21,38
9,4.0,3:56,Chiefs,Willie Davis 15 yard pass from Steve Bono (Lin Elliott kick),28,38
10,4.0,3:56,Dolphins,Irving Spikes 1 yard rush (Pete Stoyanovich kick),28,45
