,Quarter,Time,Tm,Detail,TEN,DEN
0,1,10:19,Broncos,Brandon McManus 31 yard field goal,0,3
1,2,4:42,Broncos,Brandon McManus 53 yard field goal,0,6
2,3,4:59,Broncos,Phillip Lindsay 2 yard rush (Brandon McManus kick),0,13
3,4,4:57,Broncos,Brandon McManus 48 yard field goal,0,16
