,Quarter,Tm,Detail,TAM,NYG
0,1.0,Giants,Joe Danelo 22 yard field goal,0,3
1,2.0,Buccaneers,Johnny Davis 3 yard rush (Neil O'Donoghue kick),7,3
2,2.0,Buccaneers,Jimmy DuBose 1 yard rush (Neil O'Donoghue kick),14,3
3,4.0,Giants,Larry Csonka 7 yard rush (Joe Danelo kick),14,10
4,4.0,Giants,Larry Csonka 1 yard rush (Joe Danelo kick),14,17
