,Quarter,Time,Tm,Detail,NYG,ARI
0,2.0,14:58,Cardinals,Jake Plummer 1 yard rush (Chris Jacke kick),0,7
1,2.0,0:33,Cardinals,David Boston 11 yard pass from Jake Plummer (Chris Jacke kick),0,14
2,4.0,10:13,Giants,Brad Daluiso 31 yard field goal,3,14
