,Quarter,Tm,Detail,STL,CIN
0,1.0,Bengals,Pete Johnson 2 yard rush (Chris Bahr kick),0,7
1,2.0,Bengals,Isaac Curtis 43 yard pass from Ken Anderson (Chris Bahr kick),0,14
2,2.0,Bengals,Pete Johnson 4 yard rush (Chris Bahr kick),0,21
3,2.0,Cardinals,Pat Tilley 37 yard pass from Jim Hart (Steve Little kick),7,21
4,2.0,Bengals,Isaac Curtis 19 yard pass from Ken Anderson (Chris Bahr kick),7,28
5,3.0,Cardinals,Pat Tilley 51 yard pass from Jim Hart (Steve Little kick),14,28
6,3.0,Bengals,Chris Bahr 38 yard field goal,14,31
7,3.0,Cardinals,Wayne Morris 3 yard pass from Jim Hart (Steve Little kick),21,31
8,4.0,Bengals,Chris Bahr 33 yard field goal,21,34
9,4.0,Cardinals,Theotis Brown 30 yard rush (Steve Little kick),28,34
