,Quarter,Tm,Detail,KAN,BUF
0,1.0,Chiefs,Nick Lowery 39 yard field goal,3,0
1,1.0,Bills,Frank Lewis 20 yard pass from Joe Ferguson (Nick Mike-Mayer kick),3,7
2,2.0,Chiefs,Nick Lowery 47 yard field goal,6,7
3,2.0,Bills,Jerry Butler 6 yard pass from Joe Ferguson (Nick Mike-Mayer kick),6,14
4,4.0,Chiefs,Nick Lowery 42 yard field goal,9,14
