,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,7:21,49ers,Colin Kaepernick 7 yard rush (David Akers kick),7,0
1,1.0,1:45,Saints,David Thomas 6 yard pass from Drew Brees (Garrett Hartley kick),7,7
2,2.0,7:53,Saints,Marques Colston 10 yard pass from Drew Brees (Garrett Hartley kick),7,14
3,2.0,0:22,49ers,Ahmad Brooks 50 yard interception return (David Akers kick),14,14
4,3.0,12:17,49ers,Frank Gore 6 yard pass from Colin Kaepernick (David Akers kick),21,14
5,3.0,11:30,49ers,Donte Whitner 42 yard interception return (David Akers kick),28,14
6,3.0,7:19,Saints,Jed Collins 2 yard pass from Drew Brees (Garrett Hartley kick),28,21
7,4.0,7:50,49ers,David Akers 27 yard field goal,31,21
