,Quarter,Tm,Detail,PRT,SIS
0,2,Stapletons,Doc Ledbetter 1 yard rush (Dick Frahm kick),0,7
1,4,Spartans,Dutch Clark 34 yard pass from John Cavosie (Dutch Clark kick),7,7
