,Quarter,Tm,Detail,HOU,SDG
0,1.0,Chargers,Clarence Williams 1 yard rush (Mike Wood kick),0,7
1,2.0,Oilers,Toni Fritsch 26 yard field goal,3,7
2,2.0,Oilers,Boobie Clark 1 yard rush (Toni Fritsch kick),10,7
3,3.0,Chargers,Lydell Mitchell 8 yard rush (Mike Wood kick),10,14
4,3.0,Oilers,Mike Renfro 47 yard pass from Gifford Nielsen (Toni Fritsch kick),17,14
