,Quarter,Tm,Detail,MIA,CLE
0,1,Browns,Pat Moriarty 2 yard rush (Don Cockroft kick),0,7
1,2,Dolphins,Uwe von Schamann 38 yard field goal,3,7
2,3,Dolphins,Delvin Williams 9 yard rush (Uwe von Schamann kick),10,7
3,3,Browns,Ozzie Newsome 14 yard pass from Brian Sipe (Don Cockroft kick),10,14
4,3,Browns,Don Cockroft 43 yard field goal,10,17
5,4,Dolphins,Bruce Hardy 2 yard pass from Don Strock (Uwe von Schamann kick),17,17
6,4,Dolphins,Delvin Williams 4 yard pass from Don Strock (Uwe von Schamann kick),24,17
7,4,Browns,Ozzie Newsome 34 yard pass from Brian Sipe (Don Cockroft kick),24,24
8,OT,Browns,Reggie Rucker 39 yard pass from Brian Sipe,24,30
