,Quarter,Tm,Detail,OOR,CHI
0,1.0,Bears,Joey Sternaman unknown yard rush (Dutch Sternaman kick),0,7
1,1.0,Bears,Joey Sternaman 15 yard rush,0,13
2,2.0,Bears,Dutch Sternaman unknown yard rush (George Halas pass from Laurie Walquist),0,20
3,3.0,Bears,George Halas unknown yard pass from Pard Pearce,0,26
4,3.0,Bears,Pard Pearce unknown yard rush (George Halas pass from Laurie Walquist),0,33
5,4.0,Indians,Jim Thorpe unknown yard rush,6,33
