,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Jets,Jim Turner 9 yard field goal,3,0
1,1.0,Bills,Bruce Alford 35 yard field goal,3,3
2,1.0,Jets,Jim Turner 26 yard field goal,6,3
3,2.0,Jets,Jim Turner 41 yard field goal,9,3
4,2.0,Jets,Don Maynard 60 yard pass from Joe Namath (Jim Turner kick),16,3
5,3.0,Jets,Jim Turner 21 yard field goal,19,3
6,3.0,Bills,Bill Enyart 5 yard pass from Jack Kemp (pass failed),19,9
7,4.0,Bills,O.J. Simpson 8 yard rush (Bruce Alford kick),19,16
8,4.0,Bills,Bruce Alford 10 yard field goal,19,19
9,4.0,Jets,Matt Snell 11 yard rush (Jim Turner kick),26,19
10,4.0,Jets,Paul Crane 23 yard interception return (Jim Turner kick),33,19
