,Quarter,Time,Tm,Detail,TAM,DET
0,1.0,,Buccaneers,Michael Husted 41 yard field goal,3,0
1,1.0,,Buccaneers,Patrick Hape 1 yard pass from Trent Dilfer (Michael Husted kick),10,0
2,2.0,,Buccaneers,Warrick Dunn 6 yard rush (Michael Husted kick),17,0
3,2.0,,Lions,Jason Hanson 48 yard field goal,17,3
4,3.0,,Lions,Johnnie Morton 73 yard pass from Scott Mitchell (Jason Hanson kick),17,10
5,4.0,,Buccaneers,Mike Alstott 1 yard rush (Michael Husted kick),24,10
6,4.0,,Lions,Barry Sanders 66 yard pass from Scott Mitchell (Jason Hanson kick),24,17
