,Quarter,Tm,Detail,TAM,CLE
0,1.0,Browns,Matt Bahr 27 yard field goal,0,3
1,1.0,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),0,10
2,3.0,Browns,Matt Bahr 42 yard field goal,0,13
3,4.0,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),0,20
