,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Mike Lansford 24 yard field goal,0,3
1,2.0,Rams,LeRoy Irvin 65 yard blocked field goal return (Mike Lansford kick),0,10
2,2.0,49ers,Ray Wersching 46 yard field goal,3,10
3,3.0,Rams,Mike Lansford 32 yard field goal,3,13
4,3.0,49ers,Jerry Rice 66 yard pass from Jeff Kemp (Ray Wersching kick),10,13
5,3.0,49ers,Ray Wersching 29 yard field goal,13,13
6,4.0,Rams,Mike Lansford 18 yard field goal,13,16
