,Quarter,Time,Tm,Detail,SEA,ATL
0,1.0,11:22,Seahawks,Jason Myers 42 yard field goal,3,0
1,2.0,11:51,Seahawks,D.K. Metcalf 4 yard pass from Russell Wilson (Jason Myers kick),10,0
2,2.0,4:51,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),17,0
3,2.0,0:33,Seahawks,D.K. Metcalf 2 yard pass from Russell Wilson (Jason Myers kick),24,0
4,3.0,11:02,Falcons,Brian Hill 23 yard rush (Calvin Ridley pass from Matt Schaub),24,8
5,3.0,3:30,Falcons,Matt Bryant 47 yard field goal,24,11
6,4.0,5:58,Seahawks,Jason Myers 54 yard field goal,27,11
7,4.0,3:12,Falcons,Austin Hooper 1 yard pass from Matt Schaub (pass failed),27,17
8,4.0,1:21,Falcons,Matt Bryant 37 yard field goal,27,20
