,Quarter,Tm,Detail,WAS,STL
0,1.0,Cardinals,Jim Bakken 28 yard field goal,0,3
1,1.0,Redskins,Pat Richter 29 yard pass from Sonny Jurgensen (Charlie Gogolak kick),7,3
2,2.0,Cardinals,Roy Shivers 42 yard rush (Jim Bakken kick),7,10
3,2.0,Cardinals,Johnny Roland 1 yard rush (Jim Bakken kick),7,17
4,2.0,Cardinals,Bobby Joe Conrad 32 yard pass from Jim Hart (Jim Bakken kick),7,24
5,3.0,Redskins,Gerry Allen 4 yard rush (Charlie Gogolak kick),14,24
6,3.0,Cardinals,Dave Williams 2 yard pass from Jim Hart (Jim Bakken kick),14,31
7,4.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),14,38
8,4.0,Cardinals,Jim Bakken 40 yard field goal,14,41
