,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Jets,Randy Rasmussen offensive fumble recovery in end zone (Bobby Howfield kick),0,7
1,2.0,Dolphins,Howard Twilley 16 yard pass from Bob Griese (Garo Yepremian kick),7,7
2,2.0,Dolphins,Jim Kiick 6 yard rush (Garo Yepremian kick),14,7
3,3.0,Dolphins,Garo Yepremian 27 yard field goal,17,7
4,3.0,Jets,Bobby Howfield 18 yard field goal,17,10
5,4.0,Dolphins,Jim Kiick 3 yard rush (Garo Yepremian kick),24,10
6,4.0,Jets,Emerson Boozer 1 yard rush (Bobby Howfield kick),24,17
7,4.0,Dolphins,Garo Yepremian 43 yard field goal,27,17
