,Quarter,Time,Tm,Detail,KAN,HOU
0,1.0,10:22,Chiefs,Travis Kelce 10 yard pass from Alex Smith (Cairo Santos kick),7,0
1,1.0,4:28,Chiefs,Travis Kelce 42 yard pass from Alex Smith (Cairo Santos kick),14,0
2,1.0,0:46,Texans,DeAndre Hopkins 4 yard pass from Brian Hoyer (Randy Bullock kick failed),14,6
3,2.0,10:26,Chiefs,Cairo Santos 27 yard field goal,17,6
4,2.0,6:20,Chiefs,Cairo Santos 48 yard field goal,20,6
5,2.0,4:55,Chiefs,Jamaal Charles 7 yard pass from Alex Smith (Cairo Santos kick),27,6
6,2.0,0:09,Texans,Randy Bullock 34 yard field goal,27,9
7,4.0,4:07,Texans,DeAndre Hopkins 8 yard pass from Ryan Mallett (DeAndre Hopkins pass from Ryan Mallett),27,17
8,4.0,1:23,Texans,Randy Bullock 47 yard field goal,27,20
