,Quarter,Tm,Detail,NYJ,DET
0,1.0,Lions,Eddie Murray 19 yard field goal,0,3
1,2.0,Lions,Leonard Thompson 25 yard pass from Eric Hipple (Eddie Murray kick),0,10
2,2.0,Jets,Pat Leahy 29 yard field goal,3,10
3,2.0,Lions,Mark Nichols 38 yard pass from Eric Hipple (Eddie Murray kick),3,17
4,3.0,Lions,Leonard Thompson 8 yard pass from Eric Hipple (Eddie Murray kick),3,24
5,3.0,Jets,Al Toon 35 yard pass from Ken O'Brien (Pat Leahy kick),10,24
6,4.0,Jets,Pat Leahy 27 yard field goal,13,24
7,4.0,Lions,Leonard Thompson 44 yard pass from Eric Hipple (Eddie Murray kick),13,31
8,4.0,Jets,Mickey Shuler 8 yard pass from Ken O'Brien (Pat Leahy kick),20,31
