,Quarter,Time,Tm,Detail,DAL,NYG
0,1.0,,Cowboys,Chris Boniol 31 yard field goal,3,0
1,2.0,,Giants,Brad Daluiso 45 yard field goal,3,3
2,2.0,,Giants,Brad Daluiso 46 yard field goal,3,6
3,2.0,,Giants,Tito Wooten 54 yard defensive fumble return (Brad Daluiso kick),3,13
4,4.0,,Cowboys,Chris Boniol 37 yard field goal,6,13
5,4.0,,Giants,Brian Kozlowski 4 yard pass from Dave Brown (Brad Daluiso kick),6,20
