,Quarter,Tm,Detail,OAK,HOU
0,1.0,Raiders,George Blanda 46 yard field goal,3,0
1,2.0,Raiders,Fred Biletnikoff 16 yard pass from Daryle Lamonica (George Blanda kick),10,0
2,3.0,Raiders,George Blanda 35 yard field goal,13,0
3,4.0,Raiders,Mike Siani 27 yard pass from Daryle Lamonica (George Blanda kick),20,0
4,4.0,Raiders,Clarence Davis 14 yard rush (George Blanda kick),27,0
5,4.0,Raiders,Bob Moore 1 yard pass from Ken Stabler (George Blanda kick),34,0
