,Quarter,Time,Tm,Detail,NYJ,DEN
0,1.0,9:02,Broncos,Brandon McManus 31 yard field goal,0,3
1,1.0,7:16,Broncos,Demaryius Thomas 20 yard pass from Trevor Siemian (Brandon McManus kick),0,10
2,2.0,0:32,Broncos,Brandon McManus 53 yard field goal,0,13
3,3.0,6:30,Broncos,Andy Janovich 1 yard rush (Brandon McManus kick),0,20
4,4.0,11:33,Broncos,Brandon McManus 40 yard field goal,0,23
