,Quarter,Time,Tm,Detail,CIN,JAX
0,1.0,2:34,Jaguars,Josh Lambo 32 yard field goal,0,3
1,2.0,6:57,Jaguars,Marqise Lee 3 yard pass from Blake Bortles (Josh Lambo kick),0,10
2,2.0,4:13,Bengals,Joe Mixon 7 yard rush (Marshall Koehn kick),7,10
3,2.0,0:23,Jaguars,Josh Lambo 56 yard field goal,7,13
4,3.0,6:51,Jaguars,Josh Lambo 25 yard field goal,7,16
5,4.0,14:35,Jaguars,Jaydon Mickens 63 yard punt return (Josh Lambo kick),7,23
