,Quarter,Tm,Detail,NOR,GNB
0,1.0,Packers,James Lofton 42 yard pass from David Whitehurst (Chester Marcol kick),0,7
1,1.0,Saints,Rich Szaro 37 yard field goal,3,7
2,2.0,Saints,Ike Harris 6 yard pass from Archie Manning (Rich Szaro kick),10,7
3,2.0,Packers,James Lofton 47 yard pass from David Whitehurst (Chester Marcol kick),10,14
4,3.0,Packers,James Lofton 18 yard pass from David Whitehurst (Chester Marcol kick),10,21
5,4.0,Packers,Rich McGeorge 9 yard pass from David Whitehurst (Chester Marcol kick),10,28
6,4.0,Saints,Mike Strachan 4 yard rush (Rich Szaro kick),17,28
