,Quarter,Tm,Detail,OAK,NYJ
0,1.0,Raiders,Mark van Eeghen 3 yard rush (Errol Mann kick),7,0
1,1.0,Jets,Jerome Barkum 18 yard pass from Richard Todd (Pat Leahy kick),7,7
2,1.0,Raiders,Dave Casper 19 yard pass from Ken Stabler (Errol Mann kick),14,7
3,1.0,Jets,Wesley Walker 87 yard pass from Richard Todd,14,13
4,2.0,Jets,Rich Caster 14 yard pass from Richard Todd (Pat Leahy kick),14,20
5,2.0,Jets,Clark Gaines 14 yard pass from Richard Todd (Pat Leahy kick),14,27
6,4.0,Raiders,Fred Biletnikoff 7 yard pass from Ken Stabler (Errol Mann kick),21,27
7,4.0,Raiders,Mike Siani 24 yard pass from Ken Stabler (Errol Mann kick),28,27
