,Quarter,Tm,Detail,STL,NYG
0,1.0,Cardinals,Mel Gray 51 yard pass from Terry Metcalf (Jim Bakken kick),7,0
1,1.0,Cardinals,Jim Bakken 37 yard field goal,10,0
2,3.0,Cardinals,Jim Bakken 40 yard field goal,13,0
3,4.0,Giants,Ray Rhodes 12 yard pass from Craig Morton (George Hunt kick),13,7
4,4.0,Cardinals,Mel Gray 38 yard pass from Jim Hart (Jim Bakken kick),20,7
5,4.0,Giants,Walker Gillette 6 yard pass from Craig Morton,20,13
