,Quarter,Time,Tm,Detail,DEN,WAS
0,1.0,,Broncos,Ed McCaffrey 19 yard pass from Bubby Brister (Jason Elam kick),7,0
1,2.0,,Broncos,Jason Elam 37 yard field goal,10,0
2,2.0,,Broncos,Darrien Gordon 55 yard interception return (Jason Elam kick),17,0
3,2.0,,Redskins,Terry Allen 5 yard rush (Cary Blanchard kick),17,7
4,3.0,,Broncos,Terrell Davis 42 yard rush (Jason Elam kick),24,7
5,3.0,,Broncos,Howard Griffith 14 yard pass from Bubby Brister (Jason Elam kick),31,7
6,3.0,,Redskins,Cary Blanchard 37 yard field goal,31,10
7,4.0,,Broncos,Derek Loville 1 yard rush (Jason Elam kick),38,10
8,4.0,8:18,Redskins,Michael Westbrook 75 yard pass from Trent Green (pass failed),38,16
