,Quarter,Tm,Detail,RAM,NWE
0,1.0,Rams,Victor Hicks 10 yard pass from Vince Ferragamo (Frank Corral kick),7,0
1,2.0,Patriots,Don Hasselbeck 35 yard pass from Steve Grogan (John Smith kick),7,7
2,2.0,Patriots,Steve Grogan 1 yard rush (John Smith kick),7,14
3,3.0,Rams,Frank Corral 29 yard field goal,10,14
4,3.0,Rams,Elvis Peacock 1 yard rush (Frank Corral kick),17,14
