,Quarter,Time,Tm,Detail,SFO,GNB
0,1.0,2:17,Packers,Antonio Freeman 67 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,2.0,5:27,49ers,Charlie Garner 39 yard pass from Jeff Garcia (Wade Richey kick),7,7
2,2.0,0:51,Packers,Ahman Green 2 yard rush (Ryan Longwell kick),7,14
3,3.0,8:51,Packers,Dorsey Levens 1 yard rush (Ryan Longwell kick),7,21
4,3.0,2:10,49ers,J.J. Stokes 23 yard pass from Jeff Garcia (Wade Richey kick),14,21
5,4.0,11:36,49ers,Terrell Owens 16 yard pass from Jeff Garcia (Wade Richey kick),21,21
6,4.0,8:01,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),21,28
7,4.0,5:30,49ers,Terrell Owens 37 yard pass from Jeff Garcia (Wade Richey kick),28,28
8,4.0,0:54,Packers,Ryan Longwell 35 yard field goal,28,31
